Date,CPI
2014-06,239.682
2014-07,240.154
2014-08,240.692
2014-09,241.328
2014-10,241.62
2014-11,241.912
2014-12,242.893
2015-01,242.553
2015-02,242.598
2015-03,241.633
2015-04,241.106
2015-05,241.107
2015-06,241.922
2015-07,242.25
2015-08,242.864
2015-09,243.198
2015-10,243.284
2015-11,242.606
2015-12,241.88
2016-01,241.558
2016-02,241.741
2016-03,240.414
2016-04,240.341
2016-05,239.348
2016-06,238.763
2016-07,238.38
2016-08,238.133
2016-09,237.88
2016-10,237.714
2016-11,237.438
2016-12,237.147
2017-01,237.072
2017-02,237.824
2017-03,238.387
2017-04,238.568
2017-05,238.893
2017-06,238.494
2017-07,238.904
2017-08,238.804
2017-09,238.852
2017-10,239.02
2017-11,238.94
2017-12,239.371
2018-01,239.641
2018-02,239.16
2018-03,239.23
2018-04,239.798
2018-05,239.148
2018-06,239.239
2018-07,239.693
2018-08,239.941
2018-09,239.935
2018-10,239.404
2018-11,239.99
2018-12,240.786
2019-01,241.32
2019-02,242.077
2019-03,242.603
2019-04,241.484
2019-05,241.969
2019-06,241.371
2019-07,241.134
2019-08,241.014
2019-09,241.435
2019-10,241.892
2019-11,242.474
2019-12,242.527
2020-01,243.179
2020-02,244.115
2020-03,245.207
2020-04,251.29
2020-05,253.635
2020-06,254.85
2020-07,252.215
2020-08,252.148
2020-09,251.303
2020-10,251.478
2020-11,251.241
2020-12,252.009
2021-01,252.27
